"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","LEITOS_UTI_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","LEITOS_UTI_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2","LEITOS_UTI_CENARIO_2"
2020-07-14,7085115.93559549,48467,4860.73061296966,25717.3337915393,627,648,7085115.93559549,48467,4860.73061296966,25717.3337915393,627,648,7085115.93559549,48467,4860.73061296966,25717.3337915393,627,648
2020-07-15,7082470.95878391,50507,4894.79433016965,26252.2468859241,663,668,7082470.95878391,50507,4894.79433016965,26252.2468859241,663,668,7082470.95878391,50507,4894.79433016965,26252.2468859241,663,668
2020-07-16,7081293.95011372,52326,4928.85804736965,25547.191838909,692,690,7081293.95011372,52326,4928.85804736965,25547.191838909,692,690,7081293.95011372,52326,4928.85804736965,25547.191838909,692,690
2020-07-17,7078625.90958494,54137,4962.92176456964,26344.1686504938,718,711,7078625.90958494,54137,4962.92176456964,26344.1686504938,718,711,7078625.90958494,54137,4962.92176456964,26344.1686504938,718,711
2020-07-18,7075899.83719755,56026,4996.98548176964,27115.1773206786,750,732,7075899.83719755,56026,4996.98548176964,27115.1773206786,750,732,7075899.83719755,56026,4996.98548176964,27115.1773206786,750,732
2020-07-19,7072868.73295157,59174,5031.04919896964,26934.2178494634,780,746,7072868.73295157,59174,5031.04919896964,26934.2178494634,780,746,7072868.73295157,59174,5031.04919896964,26934.2178494634,780,746
2020-07-20,7070856.59684698,60834,5065.11291616963,27219.2902368482,813,761,7070856.59684698,60834,5065.11291616963,27219.2902368482,813,761,7070856.59684698,60834,5065.11291616963,27219.2902368482,813,761
2020-07-21,7069103.4288838,62533,5099.17663336963,27202.394482833,850,782,7069103.4288838,62533,5099.17663336963,27202.394482833,850,782,7069103.4288838,62533,5099.17663336963,27202.394482833,850,782
2020-07-22,7066177.014722,65197,5133.24035056962,27389.744927433,891,798,7066177.014722,65197,5133.24035056962,27389.744927433,891,798,7066177.014722,65197,5133.24035056962,27389.744927433,891,798
2020-07-23,7063699.6005602,67415,5167.30406776962,27577.095372033,929,810,7063699.6005602,67415,5167.30406776962,27577.095372033,929,810,7063699.6005602,67415,5167.30406776962,27577.095372033,929,810
2020-07-24,7060903.1863984,69944,5201.36778496962,27764.445816633,975,819,7060903.1863984,69944,5201.36778496962,27764.445816633,975,819,7060903.1863984,69944,5201.36778496962,27764.445816633,975,819
2020-07-25,7058293.98657661,72292.7856599848,5235.43150216961,27951.796261233,1014,828,7058293.98657661,72292.7856599848,5235.43150216961,27951.796261233,1014,828,7058293.98657661,72292.7856599848,5235.43150216961,27951.796261233,1014,828
2020-07-26,7055667.75489623,74652.6031785697,5269.49521936961,28139.1467058329,1059,841,7055667.75489623,74652.6031785697,5269.49521936961,28139.1467058329,1059,841,7055667.75489623,74652.6031785697,5269.49521936961,28139.1467058329,1059,841
2020-07-27,7053024.49135724,77038.4525557545,5303.55893656961,28326.4971504329,1095,869,7053024.49135724,77038.4525557545,5303.55893656961,28326.4971504329,1095,869,7053024.49135724,77038.4525557545,5303.55893656961,28326.4971504329,1095,869
2020-07-28,7050364.19595966,79444.3337915393,5337.6226537696,28513.8475950329,1128,892,7050364.19595966,79444.3337915393,5337.6226537696,28513.8475950329,1128,892,7050364.19595966,79444.3337915393,5337.6226537696,28513.8475950329,1128,892
2020-07-29,7047686.86870347,81862.2468859241,5371.6863709696,28701.1980396329,1166,907,7047686.86870347,81862.2468859241,5371.6863709696,28701.1980396329,1166,907,7047686.86870347,81862.2468859241,5371.6863709696,28701.1980396329,1166,907
2020-07-30,7044992.50958869,84293.191838909,5405.75008816959,28888.5484842329,1208,922,7044992.50958869,84293.191838909,5405.75008816959,28888.5484842329,1208,922,7044992.50958869,84293.191838909,5405.75008816959,28888.5484842329,1208,922
2020-07-31,7042281.1186153,86737.1686504938,5439.81380536959,29075.8989288328,1254,928,7042281.1186153,86737.1686504938,5439.81380536959,29075.8989288328,1254,928,7042281.1186153,86737.1686504938,5439.81380536959,29075.8989288328,1254,928
2020-08-01,7039552.69578332,89190.1773206786,5473.87752256959,29263.2493734328,1308,941,7039552.69578332,89190.1773206786,5473.87752256959,29263.2493734328,1308,941,7039552.69578332,89190.1773206786,5473.87752256959,29263.2493734328,1308,941
2020-08-02,7036807.24109273,91685.2178494634,5507.94123976958,29450.5998180328,1337,949,7036807.24109273,91685.2178494634,5507.94123976958,29450.5998180328,1337,949,7036807.24109273,91685.2178494634,5507.94123976958,29450.5998180328,1337,949
2020-08-03,7034044.75454355,94189.2902368482,5542.00495696958,29637.9502626328,1374,961,7034044.75454355,94189.2902368482,5542.00495696958,29637.9502626328,1374,961,7034044.75454355,94189.2902368482,5542.00495696958,29637.9502626328,1374,961
2020-08-04,7031265.23613576,96702.394482833,5576.06867416958,29825.3007072328,1419,969,7031265.23613576,96702.394482833,5576.06867416958,29825.3007072328,1419,969,7031265.23613576,96702.394482833,5576.06867416958,29825.3007072328,1419,969
2020-08-05,7028468.68586938,99238.5305874179,5610.13239136957,30012.6511518327,1458,973,7028468.68586938,99238.5305874179,5610.13239136957,30012.6511518327,1458,973,7028468.68586938,99238.5305874179,5610.13239136957,30012.6511518327,1458,973
2020-08-06,7025655.1037444,101796.698550603,5644.19610856957,30200.0015964327,1492,970,7025655.1037444,101796.698550603,5644.19610856957,30200.0015964327,1492,970,7025655.1037444,101796.698550603,5644.19610856957,30200.0015964327,1492,970
2020-08-07,7022824.48976081,104387.898372387,5678.25982576956,30387.3520410327,1510,968,7022824.48976081,104387.898372387,5678.25982576956,30387.3520410327,1510,968,7022824.48976081,104387.898372387,5678.25982576956,30387.3520410327,1510,968
2020-08-08,7019976.84391863,106991.130052772,5712.32354296956,30574.7024856327,1533,968,7019976.84391863,106991.130052772,5712.32354296956,30574.7024856327,1533,968,7019976.84391863,106991.130052772,5712.32354296956,30574.7024856327,1533,968
2020-08-09,7017112.16621784,109626.393591757,5746.38726016956,30762.0529302327,1541,968,7017112.16621784,109626.393591757,5746.38726016956,30762.0529302327,1541,968,7017112.16621784,109626.393591757,5746.38726016956,30762.0529302327,1541,968
2020-08-10,7014230.45665846,112286.688989342,5780.45097736955,30949.4033748326,1541,968,7014230.45665846,112286.688989342,5780.45097736955,30949.4033748326,1541,968,7014230.45665846,112286.688989342,5780.45097736955,30949.4033748326,1541,968
2020-08-16,7011554.46763699,114843.290623937,5612.60661608483,31163.8720886853,1595.61121611855,986.1518181822,7011690.0816142,114842.510670848,5505.86821825013,31135.8076666942,1595.61070219031,986.121127818202,7011622.71692248,114842.898162629,5558.88862378085,31149.7489583638,1595.61095751645,986.136375228404
2020-08-17,7008864.70308197,117414.404759256,5521.34798137976,31300.9836251979,1651.21111582326,1003.34943637324,7009140.61071934,117408.82629127,5346.05821963233,31206.1658379523,1651.20463884772,1003.13429295433,7009003.60977918,117411.597220283,5433.08702794565,31253.2569579575,1651.20785634291,1003.24115829391
2020-08-18,7006166.22908812,119995.227398238,5472.68446359759,31394.6287424086,1707.74283508333,1019.48747255737,7006589.24759353,119978.439032867,5250.37943483301,31211.3652907065,1707.71383053158,1018.85481753372,7006379.31047479,119986.776253776,5360.66707892276,31302.348960757,1707.72823643409,1019.16899531692
2020-08-19,7003461.90051941,122583.036753146,5447.68210672253,31463.6847524697,1765.14638398617,1034.54948426467,7004040.03761397,122547.283430168,5190.5191675976,31179.8616314396,1765.0641921113,1033.23396471317,7003753.2942572,122565.033696177,5317.97883718399,31320.7011432453,1765.10500670607,1033.88705948484
